J_type	N-SIZE	Thk	Filler Ф2#4	Elec# Ф2#5	Elec# Ф3#25	Elec# Ф4
BW	2	5.54	0.08189704197	0	0	0
FW	2	5.54	0	0.084052227285	0	0
BW	2	6.02	0.109914451065	0	0	0
FW	2	6.02	0	0.11638000701	0	0
BW	2	6.35	0.109914451065	0	0	0
FW	2	6.35	0	0.11638000701	0	0
BW	2	6.49	0.109914451065	0	0	0
FW	2	6.49	0	0	0.122845562955	0
FW	2	7.01	0	0	0.15517334268	0
FW	2	7.11	0	0	0.15517334268	0
FW	2	7.62	0	0	0.15517334268	0
BW	2	8.18	0.165949269255	0	0	0
FW	2	8.18	0	0	0.200432234295	0
BW	2	8.74	0.165949269255	0	0	0
FW	2	8.74	0	0	0.200432234295	0
BW	2	9.53	0.20258741961	0	0	0
FW	2	9.53	0	0	0.25000149654	0
BW	2	12.7	0.079741856655	0	0.24569112591	0
FW	2	12.7	0	0	0.424571507055	0
FW	2	13.6	0	0	0.502158178395	0
FW	2	14.2	0	0	0.56896892316	0
FW	2	14.27	0	0	0.56896892316	0
BW	2	16	0.079741856655	0	0.18965630772	0.290950017525
BW	2	18	0.079741856655	0	0.2155185315	0.403019653905
FW	2	19.4	0	0	1.002161171475	0
FW	2	22.2	0	0	1.31897341278	0
BW	2	23	0.079741856655	0	0.26724297906	0.74138374836
BW	2	25	0.079741856655	0	0.28017409095	0.89655709104
BW	2.5	3.05	4.51586079224816E-02	0	0	0
FW	2.5	3.05	0	0.04556983875	0	0
FW	2.5	7.01	0	0	0.218735226	0
FW	2.5	7.62	0	0	0.218735226	0
FW	3	3	0	0.047660690175	0	0
BW	3	3.05	0.06990234559	0	0	0
FW	3	3.05	0	0.047660690175	0	0
BW	3	3.38	0.06990234559	0	0	0
BW	3	3.56	0.06990234559	0	0	0
BW	3	3.81	0.06990234559	0	0	0
FW	3	3.81	0	0.047660690175	0	0
FW	3	4.19	0	0.08261186297	0	0
FW	3	4.78	0	0.08261186297	0	0
BW	3	5.16	0.12074041511	0	0	0
BW	3	5.49	0.12074041511	0	0	0
FW	3	5.49	0	0.123917794455	0	0
BW	3	6.02	0.162046346595	0	0	0
FW	3	6.02	0	0.17157848463	0	0
BW	3	6.35	0.162046346595	0	0	0
FW	3	6.35	0	0.17157848463	0	0
BW	3	6.49	0.162046346595	0	0	0
FW	3	6.49	0	0	0.181110622665	0
BW	3	7.62	0.20970703677	0	0	0
FW	3	7.62	0	0	0.22877131284	0
FW	3	7.92	0	0	0.22877131284	0
BW	3	8.56	0.244658209565	0	0	0
BW	3	11.13	0.117563035765	0	0.308205796465	0
FW	3	11.13	0	0	0.53379972996	0
BW	3	12.7	0.117563035765	0	0.36222124533	0
FW	3	12.7	0	0	0.625943730965	0
BW	3	20	0.117563035765	0	0.33680221057	0.778457939525
FW	3	22.2	0	0	1.94455615914	0
BW	3	24	0.117563035765	0	0.39399503878	1.204226771755
FW	4	3	0	0.061278030225	0	0
BW	4	3.05	0.08987444433	0	0	0
FW	4	3.81	0	0.061278030225	0	0
BW	4	3.91	0.08987444433	0	0	0
FW	4	4.78	0	0.10621525239	0	0
BW	4	5.49	0.15523767657	0	0	0
BW	4	6.02	0.208345302765	0	0	0
FW	4	6.02	0	0.22060090881	0	0
BW	4	6.35	0.208345302765	0	0	0
FW	4	6.35	0	0.22060090881	0	0
BW	4	6.49	0.208345302765	0	0	0
FW	4	7.11	0	0	0.29413454508	0
FW	4	7.92	0	0	0.29413454508	0
BW	4	8.56	0.314560555155	0	0	0
FW	4	8.56	0	0	0.379923787395	0
BW	4	8.66	0.314560555155	0	0	0
FW	4	9.53	0	0	0.47388343374	0
BW	4	10.31	0.151152474555	0	0.31047535314	0
FW	4	10.31	0	0	0.576013484115	0
BW	4	11.13	0.151152474555	0	0.396264595455	0
FW	4	12.7	0	0	0.804784796955	0
BW	4	13.49	0.151152474555	0	0.58826909016	0
BW	4	28	0.151152474555	0	0.633206312325	2.193753482055
BW	4	30.96	0.151152474555	0	0.698569544565	2.553251259375
FW	6	3	0	0.090228280725	0	0
BW	6	3.4	0.13233481173	0	0	0
BW	6	3.91	0.13233481173	0	0	0
FW	6	4.78	0	0.15639568659	0	0
BW	6	6.02	0.306776154465	0	0	0
FW	6	6.02	0	0.32482181061	0	0
BW	6	6.35	0.306776154465	0	0	0
FW	6	6.35	0	0.32482181061	0	0
BW	6	7.11	0.39700443519	0	0	0
FW	6	7.11	0	0	0.43309574748	0
FW	6	7.92	0	0	0.43309574748	0
BW	6	8.18	0.463171841055	0	0	0
BW	6	9.53	0.56543055921	0	0	0
FW	6	9.53	0	0	0.69776537094	0
BW	6	10	0.679719714795	0	0	0
BW	6	10.97	0.222563092455	0	0.45715662234	0
FW	6	12.7	0	0	1.184998086855	0
FW	6	13.6	0	0	1.401545960595	0
BW	6	14.27	0.222563092455	0	1.028602400265	0
FW	6	16.7	0	0	2.02111348824	0
BW	6	18.26	0.222563092455	0	0.6015218715	1.124845899705
BW	6	22	0.222563092455	0	0.70979580837	1.858702582935
FW	6	22.2	0	0	3.68131385358	0
BW	6	55	0.222563092455	0	1.894793895225	13.31769423501
BW	6	110	0.222563092455	0	2.424133142145	21.672833030145
FW	8	3	0	0.117462960825	0	0
BW	8	3.76	0.17227900921	0	0	0
FW	8	3.76	0	0.117462960825	0	0
FW	8	4.78	0	0.20360246543	0	0
FW	8	6.02	0	0.42286665897	0	0
BW	8	6.35	0.399374066805	0	0	0
FW	8	6.35	0	0.42286665897	0	0
BW	8	7.04	0.51683702763	0	0	0
BW	8	8.18	0.602976532235	0	0	0
FW	8	8.18	0	0	0.728270357115	0
FW	8	9.53	0	0	0.90838023038	0
BW	8	10.97	0.289741970035	0	0.59514566818	0
BW	8	12.7	0.289741970035	0	0.89271850227	0
FW	8	12.7	0	0	1.542680218835	0
BW	8	15.09	0.289741970035	0	0.68911603684	0.87705677416
BW	8	18.26	0.289741970035	0	0.7830864055	1.464371578285
FW	8	19.4	0	0	3.641351785575	0
BW	8	21.44	0.289741970035	0	0.87705677416	2.16131847918
BW	8	22.2	0.289741970035	0	0.92404195849	2.419736992995
FW	8	22.2	0	0	4.79248880166	0
BW	8	43	0.289741970035	0	1.902899965365	10.47769610559
FW	10	3	0	0.146413211325	0	0
BW	10	4.19	0.263543780385	0	0	0
FW	10	4.19	0	0.25378289963	0	0
BW	10	6.35	0.497804918505	0	0	0
FW	10	6.35	0	0.52708756077	0	0
BW	10	7.8	0.245	0	0.69	0
BW	10	9.27	0.91752279097	0	0	0
FW	10	9.53	0	0	1.13226216758	0
BW	10	12.7	0.361152587935	0	1.11274040607	0
FW	10	12.7	0	0	1.922893508735	0
FW	10	13.4	0	0	2.274285215915	0
BW	10	15.06	0.361152587935	0	0.85895750644	1.09321864456
BW	10	15.09	0.361152587935	0	0.85895750644	1.09321864456
FW	10	15.09	0	0	2.898981584235	0
BW	10	17.48	0.361152587935	0	0.91752279097	1.5617409208
BW	10	18	0.361152587935	0	0.9760880755	1.825284701185
FW	10	18	0	0	4.0995699171	0
BW	10	18.26	0.361152587935	0	0.9760880755	1.825284701185
BW	10	20	0.361152587935	0	1.03465336003	2.391415784975
BW	10	21.44	0.361152587935	0	1.09321864456	2.69400308838
BW	10	25.4	0.361152587935	0	1.356762424945	4.06052639408
BW	10	50	0.361152587935	0	2.762329253665	17.813607377875
FW	12	3	0	0.173647891425	0	0
BW	12	3.91	0.25468357409	0	0	0
BW	12	4.57	0.312566204565	0	0	0
FW	12	4.78	0	0.30098967847	0	0
BW	12	6.35	0.590402830845	0	0	0
FW	12	6.35	0	0.62513240913	0	0
FW	12	7.92	0	0	0.83350987884	0
BW	12	8.38	0.891392509315	0	0	0
BW	12	9.52	1.08819345293	0	0	0
FW	12	9.52	0	0	1.34287702702	0
BW	12	9.53	1.08819345293	0	0	0
FW	12	9.53	0	0	1.34287702702	0
BW	12	10.31	0.428331465515	0	0.87981598322	0
BW	12	12.7	0.428331465515	0	1.31972397483	0
FW	12	12.7	0	0	2.280575640715	0
BW	12	15.09	0.428331465515	0	1.01873429636	1.29657092264
FW	12	15.09	0	0	3.438228250215	0
FW	12	16.3	0	0	3.88971276792	0
BW	12	17.48	0.428331465515	0	1.08819345293	1.8522441752
FW	12	17.48	0	0	4.364350337815	0
BW	12	21.44	0.428331465515	0	1.29657092264	3.19512120222
BW	12	25.4	0.428331465515	0	1.609137127205	4.81583485552
BW	12	30.96	0.428331465515	0	1.979585962245	7.235328809375
BW	12	33.32	0.428331465515	0	2.164810379765	8.89077204096
BW	12	60	0.428331465515	0	4.017054554965	30.573605416895
BW	14	3.96	0.27960938236	0	0	0
BW	14	4.78	0.34315696926	0	0	0
BW	14	4.8	0.34315696926	0	0	0
BW	14	6.35	0.64818538638	0	0	0
FW	14	6.35	0	0.68631393852	0	0
BW	14	7.92	0.83882814708	0	0	0
FW	14	9.53	0	0	1.47430401608	0
BW	14	11.13	0.47025214306	0	1.23282318586	0
FW	14	12.7	0	0	2.50377492386	0
BW	14	15.09	0.47025214306	0	1.11843752944	1.42346594656
FW	14	15.09	0	0	3.77472666186	0
BW	14	19.05	0.47025214306	0	1.34720884228	2.74525575408
FW	14	19.05	0	0	5.9099255817	0
BW	14	23.83	0.47025214306	0	1.57598015512	4.37207397872
BW	14	23.88	0.47025214306	0	1.57598015512	4.37207397872
BW	14	27.79	0.47025214306	0	1.9699751939	6.30392062048
BW	14	28	0.47025214306	0	1.9699751939	6.82501083306
BW	14	31.75	0.47025214306	0	2.27500361102	8.54079567936
BW	14	50	0.47025214306	0	3.59679341854	23.1948692185
FW	16	3	0	0.2178774408	0	0
BW	16	4.78	0.39217939344	0	0	0
BW	16	6.35	0.74078329872	0	0	0
FW	16	6.35	0	0.78435878688	0	0
BW	16	7.92	0.95866073952	0	0	0
FW	16	7.92	0	0	1.04581171584	0
BW	16	9.52	1.36536529568	0	0	0
BW	16	12.7	0.53743102064	0	1.65586855008	0
FW	16	12.7	0	0	2.86145705584	0
BW	16	16.66	0.53743102064	0	1.27821431936	1.9608969672
FW	16	19.4	0	0	6.7542006648	0
BW	16	21.44	0.53743102064	0	1.62681822464	4.00894491072
BW	16	22.2	0.56743102064	0	1.82681822464	4.10894491072
FW	16	22.2	0	0	8.88939958464	0
BW	16	26.19	0.3645408	0	8.26505599281152	0
BW	16	36.53	0.53743102064	0	2.94860803216	13.40672519056
BW	16	55	0.53743102064	0	4.5754262568	32.15871026208
FW	18	3	0	0.2451121209	0	0
BW	18	4.78	0.44120181762	0	0	0
BW	18	6.35	0.83338121106	0	0	0
FW	18	6.35	0	0.88240363524	0	0
BW	18	9.53	1.53603595764	0	0	0
FW	18	9.53	0	0	1.89553373496	0
BW	18	12.7	0.60460989822	0	1.86285211884	0
FW	18	12.7	0	0	3.21913918782	0
BW	18	16	0.60460989822	0	1.43799110928	2.2060090881
FW	18	16	0	0	5.49051150816	0
BW	18	19.05	0.60460989822	0	1.73212565436	3.52961454096
BW	18	19.4	0.60460989822	0	1.73212565436	3.52961454096
FW	18	19.4	0	0	7.5984757479	0
FW	18	22.2	0	0	10.00057453272	0
BW	18	23.82	0.60460989822	0	2.02626019944	5.62123797264
FW	18	23.82	0	0	10.8666373599	0
BW	18	23.83	0.60460989822	0	2.02626019944	5.62123797264
BW	18	23.88	0.60460989822	0	2.02626019944	5.62123797264
BW	18	29.36	0.60460989822	0	2.66355171378	9.4776686748
BW	18	45.24	0.60460989822	0	4.23226928754	24.0209878482
BW	18	60	0.60460989822	0	5.67026039682	43.15607408646
